#;RECORD_VERSION;Kod Ringkas;Kod Penuh;NAMA_MELAYU;NAME_EN;c1;c2;c3;c4;UNIT;Catatan
"";"2009v1.1";"111101";"111101001";"Maize(jagung), seed";"Maize (corn), seed";"1121";"100510000";"";"";"";""
"";"2009v1.1";"111102";"111102001";"Maize(jagung), other";"Maize (corn), other";"1122";"100590000";"";"";"";""
"";"2009v1.1";"111102";"111102002";"Jagung manis";"Sweet corn";"1122";"100590000";"";"";"";""
"";"2009v1.1";"111201";"111201001";"French beans (kacang buncis), fresh";"French beans (kacang buncis), fresh";"1241";"070820100";"";"";"";""
"";"2009v1.1";"111201";"111201002";"Long beans (kacang panjang), fresh";"Long beans (kacang panjang), fresh";"1241";"070820200";"";"";"";""
"";"2009v1.1";"111201";"111201003";"Four angled bean (kacang botol), fresh";"Four angled bean (kacang botol), fresh";"1241";"070820900";"";"";"";""
"";"2009v1.1";"111201";"111201004";"Other beans, fresh";"Other beans, fresh";"1241";"070820900";"";"";"";""
"";"2009v1.1";"111202";"111202001";"Peas, fresh";"Peas, fresh";"1242";"070810000";"";"";"";""
"";"2009v1.1";"111203";"111203001";"Other leguminous vegetables, fresh";"Other leguminous vegetables, fresh";"1249";"070890000";"";"";"";""
"";"2009v1.1";"111204";"111204001";"Beans of the species vigna mungo, dry";"Beans of the species vigna mungo, dry";"1701";"071331000";"";"";"";""
"";"2009v1.1";"111204";"111204002";"Small red beans, dry";"Small red beans, dry";"1701";"071332000";"";"";"";""
"";"2009v1.1";"111204";"111204003";"Kidney beans, dry";"Kidney beans, dry";"1701";"071333000";"";"";"";""
"";"2009v1.1";"111204";"111204004";"Other beans, dry";"Other beans, dry";"1701";"071339000";"";"";"";""
"";"2009v1.1";"111205";"111205001";"Broad beans and horse beans, dry";"Broad beans and horse beans, dry";"1702";"071350000";"";"";"";""
"";"2009v1.1";"111206";"111206001";"Chickpeas, dry";"Chickpeas, dry";"1703";"071320000";"";"";"";""
"";"2009v1.1";"111207";"111207001";"Lentils, dry";"Lentils, dry";"1704";"071340000";"";"";"";""
"";"2009v1.1";"111208";"111208001";"Peas (pisum sativum), dry";"Peas (pisum sativum), dry";"1705";"071310000";"";"";"";""
"";"2009v1.1";"111209";"111209001";"Dhall, dry";"Dhall, dry";"1709";"071390900";"";"";"";""
"";"2009v1.1";"111209";"111209002";"Other dried leguminous vegetables";"Other dried leguminous vegetables";"1709";"071390900";"";"";"";""
"";"2009v1.1";"111301";"111301001";"Soya beans, seed for planting";"Soya beans, seed for planting";"1411";"120100000";"";"";"";""
"";"2009v1.1";"111302";"111302001";"Soya beans, other";"Soya beans, other";"1412";"120100000";"";"";"";""
"";"2009v1.1";"111303";"111303001";"Groundnuts in shell, seed for planting";"Groundnuts in shell, seed for planting";"1421";"120210000";"";"";"";""
"";"2009v1.1";"111304";"111304001";"Groundnuts in shell, other";"Groundnuts in shell, other";"1422";"120210000";"";"";"";""
"";"2009v1.1";"111305";"111305001";"Cotton seeds, seed for planting";"Cotton seeds, seed for planting";"1431";"120720000";"";"";"";""
"";"2009v1.1";"111306";"111306001";"Cotton seeds, other";"Cotton seeds, other";"1432";"120720000";"";"";"";""
"";"2009v1.1";"111307";"111307001";"Linseed";"Linseed";"1441";"120400000";"";"";"";""
"";"2009v1.1";"111308";"111308001";"Mustard seeds";"Mustard seeds";"1442";"120750000";"";"";"";""
"";"2009v1.1";"111309";"111309001";"Rape or colza seeds";"Rape or colza seeds";"1443";"120500000";"";"";"";""
"";"2009v1.1";"111310";"111310001";"Sesame seeds";"Sesame seeds";"1444";"120740000";"";"";"";""
"";"2009v1.1";"111311";"111311001";"Sunflower seeds";"Sunflower seeds";"1445";"120600000";"";"";"";""
"";"2009v1.1";"111312";"111312001";"Safflower seeds";"Safflower seeds";"1446";"120760000";"";"";"";""
"";"2009v1.1";"111313";"111313001";"Castor seeds";"Castor seeds";"1449";"120730000";"";"";"";""
"";"2009v1.1";"111313";"111313002";"Poppy seeds";"Poppy seeds";"1449";"120791000";"";"";"";""
"";"2009v1.1";"111313";"111313003";"Shea nuts (karite nuts)";"Shea nuts (karite nuts)";"1449";"120799900";"";"";"";""
"";"2009v1.1";"111313";"111313004";"Illipe seeds (illipe nuts)";"Illipe seeds (illipe nuts)";"1449";"120799900";"";"";"";""
"";"2009v1.1";"111313";"111313005";"Pumpkin seeds";"Pumpkin seeds";"1449";"120799900";"";"";"";""
"";"2009v1.1";"111313";"111313006";"Melon seeds";"Melon seeds";"1449";"120799900";"";"";"";""
"";"2009v1.1";"111313";"111313007";"Kapok seeds";"Kapok seeds";"1449";"120799900";"";"";"";""
"";"2009v1.1";"111313";"111313008";"Jatropha seeds";"Jatropha seeds";"1449";"120799900";"";"";"";""
"";"2009v1.1";"111313";"111313009";"Other oil seeds";"Other oil seeds";"1449";"120799900";"";"";"";""
"";"2009v1.1";"111901";"111901001";"Wheat, seed (durum, meslin and others)";"Wheat, seed (durum, meslin and others)";"1111";"100110000";"";"";"";""
"";"2009v1.1";"111902";"111902001";"Durum wheat";"Durum wheat";"1112";"100110000";"";"";"";""
"";"2009v1.1";"111902";"111902002";"Meslin";"Meslin";"1112";"100190100";"";"";"";""
"";"2009v1.1";"111902";"111902003";"Other wheat and meslin";"Other wheat and meslin";"1112";"100190900";"";"";"";""
"";"2009v1.1";"111903";"111903001";"Sorghum, seed";"Sorghum, seed";"1141";"100700000";"";"";"";""
"";"2009v1.1";"111904";"111904001";"Grain sorghum, other";"Grain sorghum, other";"1142";"100700000";"";"";"";""
"";"2009v1.1";"111905";"111905001";"Barley, seed";"Barley, seed";"1151";"100300000";"";"";"";""
"";"2009v1.1";"111906";"111906001";"Barley, other";"Barley, other";"1152";"100300000";"";"";"";""
"";"2009v1.1";"111907";"111907001";"Rye, seed";"Rye, seed";"1161";"100200000";"";"";"";""
"";"2009v1.1";"111908";"111908001";"Rye, other";"Rye, other";"1162";"100200000";"";"";"";""
"";"2009v1.1";"111909";"111909001";"Oats, seed";"Oats, seed";"1171";"100400000";"";"";"";""
"";"2009v1.1";"111910";"111910001";"Oats, other";"Oats, other";"1172";"100400000";"";"";"";""
"";"2009v1.1";"111911";"111911001";"Millet, seed";"Millet, seed";"1181";"100820000";"";"";"";""
"";"2009v1.1";"111912";"111912001";"Millet, other";"Millet, other";"1182";"100820000";"";"";"";""
"";"2009v1.1";"111913";"111913001";"Buckwheat";"Buckwheat";"1190";"100810000";"";"";"";""
"";"2009v1.1";"111913";"111913002";"Canary seed";"Canary seed";"1190";"100830000";"";"";"";""
"";"2009v1.1";"111913";"111913003";"Other cereals";"Other cereals";"1190";"100890000";"";"";"";""
