"#";"Kod";"Kategori";"Bahagian"
"";"01";"Produk";"01-Produk"
"";"001";"Chemicals";"01-Produk"
"";"002";"Civil, Marine, Infrastructure & Building Maintenance";"01-Produk"
"";"003";"Digital & ICT";"01-Produk"
"";"004";"Electrical Equipment & Services";"01-Produk"
"";"005";"Engineering, Construction & Projects (EC&P)";"01-Produk"
"";"006";"General Equipment, Maintenance & Spares";"01-Produk"
"";"007";"Health, Safety, Security, & Environment";"01-Produk"
"";"008";"Instrumentation & Control Equipment and Services";"01-Produk"
"";"009";"Logistics & Warehousing";"01-Produk"
"";"010";"Material Corrosion Equipment & Services and Inspection Services";"01-Produk"
"";"011";"Mechanical Equipment & Services";"01-Produk"
"";"012";"Office, Administration & Professional Services";"01-Produk"
"";"013";"Oil Country Tubular Goods (OCTG) & Line Pipes";"01-Produk"
"";"014";"Process Piping Equipment & Services";"01-Produk"
"";"015";"Structural Steel & Aluminum";"01-Produk"
"";"016";"Wells";"01-Produk"
"";"02";"Servis";"02-Perkhidmatan / Servis"
"";"021";"Chemicals";"02-Perkhidmatan / Servis"
"";"022";"Civil, Marine, Infrastructure & Building Maintenance";"02-Perkhidmatan / Servis"
"";"023";"Digital & ICT";"02-Perkhidmatan / Servis"
"";"024";"Electrical Equipment & Services";"02-Perkhidmatan / Servis"
"";"025";"Engineering, Construction & Projects (EC&P)";"02-Perkhidmatan / Servis"
"";"026";"General Equipment, Maintenance & Spares";"02-Perkhidmatan / Servis"
"";"027";"Geological & Geophysical (G&G)";"02-Perkhidmatan / Servis"
"";"028";"Health, Safety, Security, & Environment";"02-Perkhidmatan / Servis"
"";"029";"Human Resource Services";"02-Perkhidmatan / Servis"
"";"030";"Instrumentation & Control Equipment and Services";"02-Perkhidmatan / Servis"
"";"031";"Logistics & Warehousing";"02-Perkhidmatan / Servis"
"";"032";"Marketing, Advertising & Public Relation";"02-Perkhidmatan / Servis"
"";"033";"Material Corrosion Equipment & Services and Inspection Services";"02-Perkhidmatan / Servis"
"";"034";"Mechanical Equipment & Services";"02-Perkhidmatan / Servis"
"";"035";"Office, Administration & Professional Services";"02-Perkhidmatan / Servis"
"";"036";"Oil Country Tubular Goods (OCTG) & Line Pipes";"02-Perkhidmatan / Servis"
"";"037";"Operations & Maintenance Services and Turnaround & Shutdown Services";"02-Perkhidmatan / Servis"
"";"038";"Process Piping Equipment & Services";"02-Perkhidmatan / Servis"
"";"039";"Wells";"02-Perkhidmatan / Servis"
