"Versi";"Negeri";"Kod Daerah Pentadbiran";"Status Rekod"
"2000";"01-Johor";"01-Batu Pahat";"Aktif"
"2000";"01-Johor";"02-Johor Bahru";"Aktif"
"2000";"01-Johor";"03-Kluang";"Aktif"
"2000";"01-Johor";"04-Kota Tinggi";"Aktif"
"2000";"01-Johor";"05-Mersing";"Aktif"
"2000";"01-Johor";"06-Muar";"Aktif"
"2000";"01-Johor";"07-Pontian";"Aktif"
"2000";"01-Johor";"08-Segamat";"Aktif"
"2000";"01-Johor";"09-Kulai";"Aktif"
"2000";"01-Johor";"10-Tangkak";"Aktif"
"2000";"02-Kedah";"01-Baling";"Aktif"
"2000";"02-Kedah";"02-Bandar Baharu";"Aktif"
"2000";"02-Kedah";"03-Kota Setar";"Aktif"
"2000";"02-Kedah";"04-Kuala Muda";"Aktif"
"2000";"02-Kedah";"05-Kubang Pasu";"Aktif"
"2000";"02-Kedah";"06-Kulim";"Aktif"
"2000";"02-Kedah";"07-Langkawi";"Aktif"
"2000";"02-Kedah";"08-Padang Terap";"Aktif"
"2000";"02-Kedah";"09-Sik";"Aktif"
"2000";"02-Kedah";"10-Yan";"Aktif"
"2000";"02-Kedah";"11-Pendang";"Aktif"
"2000";"02-Kedah";"12-Pokok Sena";"Aktif"
"2000";"03-Kelantan";"01-Bachok";"Aktif"
"2000";"03-Kelantan";"02-Kota Bharu";"Aktif"
"2000";"03-Kelantan";"03-Machang";"Aktif"
"2000";"03-Kelantan";"04-Pasir Mas";"Aktif"
"2000";"03-Kelantan";"05-Pasir Puteh";"Aktif"
"2000";"03-Kelantan";"06-Tanah Merah";"Aktif"
"2000";"03-Kelantan";"07-Tumpat";"Aktif"
"2000";"03-Kelantan";"08-Gua Musang";"Aktif"
"2000";"03-Kelantan";"09-Kuala Krai";"Aktif"
"2000";"03-Kelantan";"10-Jeli";"Aktif"
"2020";"03-Kelantan";"11-Jajahan Kecil Lojing";"Aktif"
"2000";"04-Melaka";"01-Alor Gajah";"Aktif"
