kod;masco2020;keterangan
;000007;Penganggur
;000008;Suri Rumah/Menjaga Rumah
;000009;Pelajar
;000010;Pesara kerajaan
;000011;Pesara swasta
;000012;Warga emas
;000013;Kanak-kanak tidak bersekolah
;000014;Bayi
;000015;Lain-lain
;011101;Pegawai Perubatan
;011102;Pegawai Pergigian
;011103;Pegawai Farmasi
;012101;Pegawai Rejimen Askar Melayu  DiRaja (RAMD)
;012102;Pegawai Rejimen Renjer DiRaja (RRD)
;012103;Pegawai Kor Armor DiRaja (KAD)
;012104;Pegawai Rejimen Semboyan DiRaja (RSD)
;012105;Pegawai Rejimen Askar Jurutera DiRaja (RAJD)
;012106;Pegawai Rejimen Artileri Diraja (RAD)
;012107;Pegawai Kor Perkhidmatan Am (KPA)
;012108;Pegawai Kor Kesihatan DiRaja (KKD)
;012109;Pegawai Kor Polis Tentera DiRaja (KPTD)
;012110;Pegawai Kor Risik DiRaja (KRD)
;012111;Pegawai Kor Perkhidmatan DiRaja (KPD)
;012112;Pegawai Kor Ordnan DiRaja (KOD)
;012113;Pegawai Kor Jurutera Letrik dan  Jentera DiRaja (KJLJD)
;012114;Pegawai Kor Agama Angkatan Tentera (KAGAT)
;012115;Pegawai Askar Wataniah (AW)
;012116;Pegawai Rejimen Sempadan (RS)
;013101;Anggota Infantri
;013102;Anggota Senjata Bantuan Infantri
;013103;Anggota Pengurusan Pengangkutan
;013104;Krew Mekanize
;013105;Anggota Kerani Ketenteraan
;013106;Anggota Pentadbir Logistik
;013107;Jurulatih Jasmani
;013108;Juru Rintis Serang
;013109;Krew Semboyan
;013110;Anggota Pancaragam
;013111;Anggota Gerak Khas
;013112;Krew Armor
;013113;Juruteknik Komunikasi dan Informasi
;013114;Jurusistem Komunikasi dan Informasi
;013115;Jurukomunikasi Kombat Semboyan
;013116;Jurupelan
;013117;Juruukur
;013118;Penerap Bata
;013119;Jurukerja Paip
;013120;Jurulogam
;013121;Tukang Kayu dan Tanggam
;013122;Tukang Cat dan Hias
;013123;Pemandu Loji
;013124;Jurugegas Pembakaran Dalam dan Pam
;013125;Jurugegas Loji
;013126;Juruelektrik
;013127;Juruteknik Pemusnahan
;013128;Jurumeriam
;013129;Pemprosesan Data Balistik
;013130;Juruukur Artileri
;013131;Pengesan Artileri
;013132;Anggota Kawalan Tembakan
;013133;Anggota Meriam Pertahanan Udara
;013134;Jururadar
;013135;Kerani Perakaunan Ketenteraan
;013136;Jurusistem Perakaunan Ketenteraan
;013137;Pembantu Pendidikan
;013138;Wartawan Tempur
;013139;Paramedik
;013140;Penolong Pegawai Perubatan
;013141;Jururawat Terlatih
;013142;Penolong Pegawai Kesihatan Persekitaran
;013143;Juruteknologi Makmal Perubatan
;013144;Juru X-Ray
;013145;Penolong Pegawai Farmasi
;013146;Juruteknologi Pergigian
;013147;Jururawat Pergigian
;013148;Jurupulih Perubatan Anggota/Fisioterapi
;013149;Jurupulih Perubatan Cara kerja
;013150;Penolong Pegawai Veterinar
;013151;Anggota Polis Tentera
;013152;Anggota Keselamatan dan Risik Balas
;013153;Gerak Saraf Perang Saraf
;013154;Perisikan Imejeri
;013155;Perisikan Strategik
;013156;Operasi Human Intelligence
;013157;Operasi Perisikan Khas
;013158;Chef Tentera
;013159;Juruteknik Logistik
;013160;Juruteknik Peluru
;013161;Juruteknik Percetakan
;013162;Juruteknik Kejuruteraan Automatif
;013163;Juruteknik Kejuruteraan Elektronik
;013164;Juruteknik Kejuruteraan Senjata
;013165;Juruteknik Kejuruteraan Pembuatan
;013166;Juruteknik Kejuruteraan Kembalik
;013167;Juruteknik Kejuruteraan Avionik
;013168;Juruteknik Kejuruteraan Aeromekanikal
;013169;Juruteknik Kejuruteraan Persenjataan Pesawat
;013170;Penasihat Hal Ehwal Islam Ketenteraan
;021101;Pegawai Eksekutif
;021102;Pegawai Teknikal
;021103;Pegawai Bekalan
;022101;Anggota Peperangan Atas Permukaan
;022102;Anggota Peperangan Bawah Permukaan (Senjata)
;022103;Anggota Peperangan Bawah Permukaan (Kawalan)
;022104;Anggota Juruplot Taktikal Peperangan
;022105;Anggota Provos Tentera Laut
;022106;Anggota Penyelam Ranjau
;022107;Anggota Hidrografi
;022108;Anggota Komunikasi
;022109;Anggota Jurulatih Jasmani
;022110;Anggota Pentadbiran Dan Kewangan
;022111;Anggota Teknisyen Logistik
;022112;Anggota Bendari
;022113;Anggota Petugas Wisma Pegawai
;022114;Anggota Pancaragam
;022115;Anggota Teknisyen Marin Kuasa Gerak
;022116;Anggota Teknisyen Marin Srimala
;022117;Anggota Teknisyen Elektrik Dan Kuasa
;022118;Anggota Teknisyen Elektrik Radio dan Radar
;031101;Pegawai Cawang Juruterbang Tugas Am
;031102;Pegawai Cawang Jurumalim
;031103;Pegawai Cawang Kejuruteraan
;031104;Pegawai Cawang Urusetia
;031105;Pegawai Cawang Materiel
;031106;Pegawai Cawang Kawalan Lalu Lintas Udara
;031107;Pegawai Cawang Kawalan Pertahanan Udara
;031108;Pegawai Cawang Bomba
;031109;Pegawai Cawang Jurutera Penerbangan
;031110;Pegawai Cawang Jurusensor Senjata
;032101;Juruteknik Aeromech
;032102;Juruteknik Avionic
;032103;Juruteknik Aerospace Support Engineering
;032104;Juruteknik Aviation Information Technology
;032105;Juruteknik Rangka Kapal Terbang
;032106;Juruteknik Enjin
;032107;Juruteknik Elektrik
;032108;Juruteknik Instrumen
;032109;Juruteknik Elektron
;032110;Juruteknik Senjata
;032111;Juruteknik Alat Bantuan Udara
;032112;Pembantu Statik
;032113;Juruteknik Permukaan dan Keselamatan
;032114;Juruteknik Tukang Kayu
;032115;Kuartermaster Udara
;032116;Pramugari
;032117;Juruteknik Pengawasan Udara
;032118;Pembantu Kawalan Trafik Udara
;032119;Ahli Bomba
;032120;Juru Katalog (Meterial)
;032121;Pemandu
;032122;Pembantu Tadbir
;032123;Pembantu Pertahanan
;032124;Jurulatih Jasmani
;032125;Anggota Pancaragam
;111101;Perdana Menteri
;111102;Timbalan Perdana Menteri
;111103;Menteri
;111104;Timbalan Menteri
;111105;Ahli Parlimen
;111106;Ketua Menteri
;111107;Exco Negeri
;111108;Ahli Dewan Undangan Negeri
;111109;Timbalan Ketua Menteri
;111110;Menteri Muda
;111111;Menteri Besar
;111112;Yang di-Pertua Dewan Negara
;111113;Timbalan Yang di-Pertua Dewan Negara
;111114;Ahli Dewan Negara
;111115;Yang di-Pertua Dewan Rakyat
;111116;Timbalan Yang di-Pertua Dewan Rakyat
;111201;Penyimpan Mohor Besar Raja-Raja
;111202;Ketua Setiausaha Negara
;111203;Ketua Pengarah Perkhidmatan Awam
;111204;Peguam Negara
;111205;Ketua Setiausaha Perbendaharaan
;111206;Ketua Audit Negara
;111207;Ketua Polis Negara
;111208;Ketua Pengarah Kesihatan
;111209;Panglima Angkatan Tentera
;111210;Akauntan Negara
;111211;Gabenor
;111212;Ketua Pengarah Kastam
;111213;Ketua Pengarah Bomba
;111214;Ketua Setiausaha Kementerian
;111215;Ketua Pengarah Jabatan Kerajaan
;111216;Pengurus Besar, Kerajaan Serantau
;111217;Ketua Jabatan Kerajaan
;111218;Ketua Perangkawan
;111219;Setiausaha Suruhanjaya
;111220;Setiausaha Kerajaan Negeri
;111221;Timbalan Setiausaha Kerajaan Negeri
;111222;Ketua Pegawai Eksekutif Badan Berkanun
;111223;Ketua Eksekutif Badan Berkanun
;111224;Ketua Pengarah Badan Berkanun
;111225;Pengarah Besar Badan Berkanun
;111226;Duta
;111227;Konsul Besar
;111228;Pesuruhjaya Tinggi Kerajaan
;111229;Setiausaha Kedutaan
;111230;Datuk Bandar
;111231;Yang Dipertua Pihak Berkuasa Tempatan
;111232;Setiausaha Dewan Negara
;111233;Setiausaha Dewan Rakyat
;111234;Pesuruhjaya Polis
;111235;Ketua Pentadbir Parlimen
;111236;Ketua Pegawai Eksekutif Pos Malaysia
;111237;Timbalan Ketua Setiausaha Pentadbiran Kerajaan
;111238;Ketua Bahagian/Seksyen/Unit 
;111239;Laksamana Madya Maritim
;111240;Laksamana Muda Maritim
;111241;Timbalan Ketua Polis Negara
;111242;Timbalan Pesuruhjaya Polis
;111243;Atase
;111301;Penghulu Gred NP29
;111302;Demang
;111303;Penggawa
;111304;Ketua Kampung
;111305;Tok Sidang
;111306;Ketua Anak Negeri
