"";"0";"ANGKATAN TENTERA";"ARMED FORCES OCCUPATIONS"
"";"0111";"PEGAWAI TUGAS IKHTISAS (TDM)";"PROFESSIONAL DUTY OFFICERS (MA)"
"";"011101";"Pegawai Perubatan";"Medical Officer"
"";"011102";"Pegawai Pergigian";"Dental officer"
"";"011103";"Pegawai Farmasi";"Pharmacy Officer"
"";"0121";"PEGAWAI TUGAS AM (TDM)";"GENERAL DUTY OFFICERS (MA)"
"";"012101";"Pegawai Rejimen Askar Melayu DiRaja (RAMD)";"Royal Malay Regiment Officer"
"";"012102";"Pegawai Rejimen Renjer DiRaja (RRD)";"Royal Ranger Regiment Officer"
"";"012103";"Pegawai Kor Armor DiRaja (KAD)";"Royal Armoured Corps Officer"
"";"012104";"Pegawai Rejimen Semboyan DiRaja (RSD)";"Royal Signals Regiment Officer"
"";"012105";"Pegawai Rejimen Askar Jurutera DiRaja (RAJD)";"Royal Engineer Regiment Officer"
"";"012106";"Pegawai Rejimen Artileri Diraja (RAD)";"Royal Artillery Regiment Officer"
"";"012107";"Pegawai Kor Perkhidmatan Am (KPA)";"General Services Corps Officer"
"";"012108";"Pegawai Kor Kesihatan DiRaja (KKD)";"Royal Medical Corps Officer"
"";"012109";"Pegawai Kor Polis Tentera DiRaja (KPTD)";"Royal Military Police Corps Officer"
"";"012110";"Pegawai Kor Risik DiRaja (KRD)";"Royal Intelligence Corps Officer"
"";"012111";"Pegawai Kor Perkhidmatan DiRaja (KPD)";"Royal Logistics Corps Officer"
"";"012112";"Pegawai Kor Ordnan DiRaja (KOD)";"Royal Ordnance Corps Officer"
"";"012113";"Pegawai Kor Jurutera Letrik dan Jentera DiRaja (KJLJD)";"Royal Electrical and Mechanical Engineer Corps Officer"
"";"012114";"Pegawai Kor Agama Angkatan Tentera (KAGAT)";"Armed Forces Religious Corps Officer"
"";"012115";"Pegawai Askar Wataniah (AW)";"Territorial Army Regiment Officer"
"";"012116";"Pegawai Rejimen Sempadan (RS)";"Border Regiment Officer"
"";"0131";"ANGGOTA LAIN-LAIN PANGKAT (TDM)";"PERSONNEL OF OTHER RANKS (MA)"
"";"013101";"Anggota Infantri";"Member of the Infantry"
"";"013102";"Anggota Senjata Bantuan Infantri";"Member of the Infantry Assistance Weapon"
"";"013103";"Anggota Pengurusan Pengangkutan";"Member of Transportation Management"
"";"013104";"Krew Mekanize";"Krew Mekanize"
"";"013105";"Anggota Kerani Ketenteraan";"Military Clerk"
"";"013106";"Anggota Pentadbir Logistik";"Member of Infantry"
"";"013107";"Jurulatih Jasmani (TDM)";"Physical Trainer (MA)"
"";"013108";"Juru Rintis Serang";"Serang Pioneer"
"";"013109";"Krew Semboyan";"Team Crew"
"";"013110";"Anggota Pancaragam (TDM)";"Member of the Brass Band (MA)"
"";"013111";"Anggota Gerak Khas";"Member of the Special Movement"
"";"013112";"Krew Armor";"Armor Crew"
"";"013113";"Juruteknik Komunikasi dan Informasi";"Communication and Information Technician"
"";"013114";"Jurusistem Komunikasi dan Informasi";"Communication and Information System"
"";"013115";"Jurukomunikasi Kombat Semboyan";"Spokesman Kombat Semboyan"
"";"013116";"Jurupelan";"Scratches"
"";"013117";"Juruukur";"Surveyor"
"";"013118";"Penerap Bata";"Bricklayers"
"";"013119";"Jurukerja Paip";"Pipe Worker"
"";"013120";"Jurulogam";"Metal Worker"
"";"013121";"Tukang Kayu dan Tanggam";"Wood Worker and Joiner"
"";"013122";"Tukang Cat dan Hias";"Painters and Decorators"
"";"013123";"Pemandu Loji";"Plant Driver"
"";"013124";"Jurugegas Pembakaran Dalam dan Pam";"Fitter Combustion and Pam"
"";"013125";"Jurugegas Loji";"Plant Supervisor"
"";"013126";"Juruelektrik";"Electrician"
"";"013127";"Juruteknik Pemusnahan";"Destruction Technician"
"";"013128";"Jurumeriam";"Gunners"
"";"013129";"Pemprosesan Data Balistik";"Ballistic Data Processing"
"";"013130";"Juruukur Artileri";"Artillery Surveyor"
"";"013131";"Pengesan Artileri";"Artillery Detectors"
"";"013132";"Anggota Kawalan Tembakan";"Members of the Shot Control"
"";"013133";"Anggota Meriam Pertahanan Udara";"Member of the Air Defense Artillery"
"";"013134";"Jururadar";"Radar Operator"
"";"013135";"Kerani Perakaunan Ketenteraan";"Military Accounting Clerk"
"";"013136";"Jurusistem Perakaunan Ketenteraan";"Military Accounting System"
"";"013137";"Pembantu Pendidikan";"Educational Assistant"
"";"013138";"Wartawan Tempur";"Combat Reporters"
"";"013139";"Paramedik";"Paramedics"
