"";"lama-01111";"01111";"Penanaman jagung"
"";"lama-01112";"01112";"Penanaman tanaman kekacang"
"";"lama-01113";"01113";"Penanaman bijian berminyak"
"";"lama-01119";"01119";"Penanaman bijirin lain t.t.t.l."
"";"lama-01120";"01120";"Penanaman beras (padi)"
"";"lama-01131p";"01131";"Penanaman sawi"
"";"lama-01135p";"01131";"Penanaman sawi"
"";"lama-01131p";"01132";"Penanaman bayam"
"";"lama-01135p";"01132";"Penanaman bayam"
"";"lama-01133";"01133";"Penanaman tembikai"
"";"lama-01134";"01134";"Penanaman cendawan dan truffles"
"";"lama-01132p";"01135";"Penanaman timun"
"";"lama-01135p";"01135";"Penanaman timun"
"";"lama-01132p";"01136";"Penanaman terung (aubergines)"
"";"lama-01135p";"01136";"Penanaman terung (aubergines)"
"";"lama-01131p";"01137";"Penanaman kobis"
"";"lama-01135p";"01137";"Penanaman kobis"
"";"lama-01132p";"01138";"Penanaman tomato"
"";"lama-01135p";"01138";"Penanaman tomato"
"";"lama-01135p";"01139";"Penanaman sayur-sayuran dan ubi lain t.t.t.l."
"";"lama-01136";"01139";"Penanaman sayur-sayuran dan ubi lain t.t.t.l."
"";"lama-01137";"01139";"Penanaman sayur-sayuran dan ubi lain t.t.t.l."
"";"lama-01138";"01139";"Penanaman sayur-sayuran dan ubi lain t.t.t.l."
"";"lama-01140";"01140";"Penanaman tebu"
"";"lama-01150";"01150";"Penanaman tembakau"
"";"lama-01160p";"01161";"Penanaman kenaf"
"";"lama-01160p";"01169";"Penanaman tanaman berserat yang lain t.t.t.l."
"";"lama-01282";"01170";"Penanaman cili dan lada (lada benggala spp.)"
"";"lama-01191";"01191";"Penanaman bunga"
"";"lama-01192";"01192";"Penanaman biji benih bungaan"
"";"lama-01193";"01193";"Penanaman sagu (rumbia)"
"";"lama-01199p";"01194";"Penanaman napier"
"";"lama-01296";"01195";"Penanaman pokok roselle"
"";"lama-01199p";"01199";"Penanaman tanaman bukan kekal lain t.t.t.l."
"";"lama-01210";"01210";"Penanaman anggur"
"";"lama-01221";"01221";"Penanaman pisang"
"";"lama-01222";"01222";"Penanaman mangga"
"";"lama-01223";"01223";"Penanaman durian"
"";"lama-01224";"01224";"Penanaman rambutan"
"";"lama-01225";"01225";"Penanaman buah belimbing"
"";"lama-01226";"01226";"Penanaman betik"
"";"lama-01227";"01227";"Penanaman nanas"
"";"lama-01228";"01228";"Penanaman buah naga"
"";"lama-01229";"01229";"Penanaman buah-buahan tropika dan subtropika lain t.t.t.l."
"";"lama-01231";"01231";"Penanaman limau bali"
"";"lama-01232";"01232";"Penanaman lemon dan limau nipis"
"";"lama-01233";"01233";"Penanaman tangerine dan mandarin"
"";"lama-01239";"01239";"Penanaman buah-buahan sitrus lain t.t.t.l."
"";"lama-01241";"01241";"Penanaman jambu batu"
"";"lama-01249";"01249";"Penanaman buah-buahan delima dan berbiji lain t.t.t.l."
"";"lama-01251p";"01251";"Penanaman buah beri"
"";"lama-01252";"01252";"Penanaman biji buah buah-buahan"
"";"lama-01253";"01253";"Penanaman kekacang yang boleh dimakan"
"";"lama-01259";"01259";"Penanaman pokok dan buah-buahan bertandan lain"
"";"lama-01261";"01261";"Penanaman kelapa sawit (estet)"
"";"lama-01262";"01262";"Penanaman kelapa sawit (kebun kecil)"
"";"lama-01263";"01263";"Penanaman kelapa (estet dan kebun kecil)"
"";"lama-01269";"01269";"Penanaman buah-buah lain untuk minyak t.t.t.l."
"";"lama-01271";"01271";"Penanaman kopi"
"";"lama-01272";"01272";"Penanaman teh"
"";"lama-01273";"01273";"Penanaman koko"
"";"lama-01279";"01279";"Penanaman tanaman minuman lain t.t.t.l."
"";"lama-01281";"01281";"Penanaman lada hitam (piper nigrum)"
"";"lama-01289p";"01282";"Penanaman sacha inchi"
"";"lama-01283";"01283";"Penanaman buah pala"
"";"lama-01284";"01284";"Penanaman halia"
"";"lama-01285";"01285";"Penanaman tanaman yang digunakan terutamanya untuk penghasilan minyak wangi, untuk farmasi atau untuk racun serangga, kulat atau untuk tujuan yang seumpamanya"
"";"lama-01289p";"01289";"Penanaman tanaman rempah ratus dan aromatik lain t.t.t.l."
"";"lama-01291";"01291";"Penanaman pokok getah (estet)"
"";"lama-01292";"01292";"Penanaman pokok getah (kebun kecil)"
"";"lama-01293";"01293";"Penanaman pokok untuk pengekstrakan sap"
"";"lama-01294";"01294";"Penanaman pokok nipah"
"";"lama-01295";"01295";"Penanaman pokok pinang"
"";"lama-01299";"01299";"Penanaman tanaman kekal lain t.t.t.l."
"";"lama-01301";"01301";"Penanaman tumbuhan sebagai tanaman"
"";"lama-01302";"01302";"Penanaman tumbuhan untuk tujuan hiasan"
"";"lama-01303";"01303";"Penanaman tumbuhan untuk bebawang, ubi dan akar| keratan dan slips| cendawan"
"";"lama-01304";"01304";"Operasi tapak semaian pokok (nurseries)"
"";"lama-01411p";"01411";"Penternakan, pembiakan dan pengeluaran lembu"
"";"lama-01413";"01411";"Penternakan, pembiakan dan pengeluaran lembu"
"";"lama-01411p";"01412";"Penternakan, pembiakan dan pengeluaran kerbau"
"";"lama-01412";"01413";"Pengeluaran susu mentah daripada lembu atau kerbau"
"";"lama-01420";"01420";"Penternakan dan pembiakan kuda, keldai, baghal atau hinnes"
"";"lama-01430";"01430";"Penternakan dan pembiakan unta (dromedary) dan camelid"
"";"lama-01441p";"01441";"Penternakan, pembiakan dan pengeluaran biri-biri"
"";"lama-01441p";"01442";"Penternakan, pembiakan dan pengeluaran kambing"
"";"lama-01442";"01443";"Pengeluaran susu mentah biri-biri atau kambing"
"";"lama-01443";"01444";"Pengeluaran bulu belum proses"
"";"lama-01450";"01450";"Penternakan, pembiakan dan pengeluaran babi"
"";"lama-01461p";"01461";"Penternakan, pembiakan dan pengeluaran ayam, ayam daging"
"";"lama-01461p";"01462";"Penternakan, pembiakan dan pengeluaran ayam penelur"
"";"lama-01462";"01463";"Penternakan, pembiakan dan pengeluaran itik"
"";"lama-01464";"01464";"Penternakan, pembiakan dan pengeluaran burung puyuh"
"";"lama-01463";"01465";"Penternakan dan pembiakan unggas lain t.t.t.l."
"";"lama-01465";"01465";"Penternakan dan pembiakan unggas lain t.t.t.l."
"";"lama-01466";"01466";"Pengeluaran telur ayam"
"";"lama-01467";"01467";"Pengeluaran telur itik"
"";"lama-01468";"01468";"Pengeluaran telur unggas lain t.t.t.l."
"";"lama-01469";"01469";"Operasi penetasan unggas"
"";"lama-01491";"01491";"Penternakan, pembiakan dan pengeluaran haiwan separuh jinak"
"";"lama-01492";"01492";"Pengeluaran kulit berbulu, kulit burung atau reptilia dari operasi ladang ternakan"
"";"lama-01493";"01493";"Operasi ternakan cacing, moluska, siput"
"";"lama-01494";"01494";"Penternakan ulat sutera dan pengeluaran hasil kepompong ulat sutera"
"";"lama-01495";"01495";"Penternakan lebah dan pengeluaran hasil madu dan lilin lebah"
"";"lama-01496";"01496";"Penternakan dan pembiakan haiwan peliharaan"
"";"lama-01497";"01497";"Penternakan dan pembiakan burung walit"
"";"lama-01499";"01499";"Penternakan pelbagai/haiwan lain t.t.t.l."
"";"lama-01500";"01500";"Pertanian campuran"
"";"lama-01610";"01610";"Aktiviti pertanian untuk pengeluaran tanaman berasaskan yuran atau kontrak"
"";"lama-01620";"01620";"Aktiviti pertanian untuk pengeluaran ternakan berasaskan yuran atau kontrak"
"";"lama-01631p";"01631";"Penyediaan tanaman untuk pasaran utama"
