"#";"kod-kp";"nombor";"seksyen MSIC 2025";"seksyen MSIC 2008";"MSIC 2025";"keterangan 2025";"MSIC 2008(sebahagian)";"MSIC 2008";"keterangan MSIC 2008"
"";"101-Tanaman";"1";"A";"A";"01111";"Growing of maize";"01111";"01111";"Growing of maize"
"";"101-Tanaman";"2";"A";"A";"01112";"Growing of leguminous crops";"01112";"01112";"Growing of leguminous crops"
"";"101-Tanaman";"3";"A";"A";"01113";"Growing of oil seeds";"01113";"01113";"Growing of oil seeds"
"";"101-Tanaman";"4";"A";"A";"01119";"Growing of other cereals n.e.c.";"01119";"01119";"Growing of other cereals n.e.c."
"";"101-Tanaman";"5";"A";"A";"01120";"Growing of rice (paddy) ";"01120";"01120";"Growing of paddy"
"";"101-Tanaman";"6";"A";"A";"01131";"Growing of mustards ";"01131p, 01135p";"01131";"Growing of leafy or stem vegetables"
"";"101-Tanaman";"7";"A";"A";"01132";"Growing of spinachs";"01131p, 01135p";"01131";"Growing of leafy or stem vegetables"
"";"101-Tanaman";"8";"A";"A";"01137";"Growing of cabbages";"01131p, 01135p";"01131";"Growing of leafy or stem vegetables"
"";"101-Tanaman";"9";"A";"A";"01135";"Growing of cucumbers";"01132p, 01135p";"01132";"Growing of fruits bearing vegetables"
"";"101-Tanaman";"10";"A";"A";"01136";"Growing of eggplants (aubergines)";"01132p, 01135p";"01132";"Growing of fruits bearing vegetables"
"";"101-Tanaman";"11";"A";"A";"01138";"Growing of tomatoes";"01132p, 01135p";"01132";"Growing of fruits bearing vegetables"
"";"101-Tanaman";"12";"A";"A";"01133";"Growing of melons";"01133";"01133";"Growing of melons"
"";"101-Tanaman";"13";"A";"A";"01134";"Growing of mushrooms and truffles";"01134";"01134";"Growing of mushrooms and truffles"
"";"101-Tanaman";"14";"A";"A";"01131";"Growing of mustards ";"01131p, 01135p";"01135";"Growing of vegetables seeds, except beet seeds"
"";"101-Tanaman";"15";"A";"A";"01132";"Growing of spinachs";"01131p, 01135p";"01135";"Growing of vegetables seeds, except beet seeds"
"";"101-Tanaman";"16";"A";"A";"01137";"Growing of cabbages";"01131p, 01135p";"01135";"Growing of vegetables seeds, except beet seeds"
"";"101-Tanaman";"17";"A";"A";"01135";"Growing of cucumbers";"01132p, 01135p";"01135";"Growing of vegetables seeds, except beet seeds"
"";"101-Tanaman";"18";"A";"A";"01136";"Growing of eggplants (aubergines)";"01132p, 01135p";"01135";"Growing of vegetables seeds, except beet seeds"
"";"101-Tanaman";"19";"A";"A";"01138";"Growing of tomatoes";"01132p, 01135p";"01135";"Growing of vegetables seeds, except beet seeds"
"";"101-Tanaman";"20";"A";"A";"01139";"Growing of vegetables and other tubers n.e,c ";"01135p, 01136, 01137, 01138";"01135";"Growing of vegetables seeds, except beet seeds"
"";"101-Tanaman";"21";"A";"A";"01139";"Growing of vegetables and other tubers n.e,c ";"01135p, 01136, 01137, 01138";"01136";"Growing of other vegetables"
"";"101-Tanaman";"22";"A";"A";"01139";"Growing of vegetables and other tubers n.e,c ";"01135p, 01136, 01137, 01138";"01137";"Growing of sugar beet"
"";""101-Tanaman";"23";"A";"A";"01139";"Growing of vegetables and other tubers n.e,c ";"01135p, 01136, 01137, 01138";"01138";"Growing of roots, tubers, bulb or tuberous vegetables"
"";""101-Tanaman";"24";"A";"A";"01140";"Growing of sugar cane";"01140";"01140";"Growing of sugar cane"
"";""101-Tanaman";"25";"A";"A";"01150";"Growing of tobacco";"01150";"01150";"Growing of tobacco"
"";""101-Tanaman";"26";"A";"A";"01161";"Growing of kenaf";"01160p";"01160";"Growing of fibre crops"
"";""101-Tanaman";"27";"A";"A";"01169";"Growing of other fibre crops n.e.c ";"01160p";"01160";"Growing of fibre crops"
"";""101-Tanaman";"28";"A";"A";"01191";"Growing of flowers";"01191";"01191";"Growing of flowers"
"";""101-Tanaman";"29";"A";"A";"01192";"Growing of flower seeds";"01192";"01192";"Growing of flower seeds"
"";""101-Tanaman";"30";"A";"A";"01193";"Growing of sago (rumbia)";"01193";"01193";"Growing of sago (rumbia)"
"";""101-Tanaman";"31";"A";"A";"01199";"Growing of other non-perennial crops n.e.c.";"01199p";"01199";"Growing of other non-perennial crops n.e.c."
"";""101-Tanaman";"32";"A";"A";"01194";"Growing of napier";"01199p";"01199";"Growing of other non-perennial crops n.e.c."
"";""101-Tanaman";"33";"A";"A";"01210";"Growing of grapes";"01210";"01210";"Growing of grapes"
"";""101-Tanaman";"34";"A";"A";"01221";"Growing of banana";"01221";"01221";"Growing of banana"
"";""101-Tanaman";"35";"A";"A";"01222";"Growing of mango";"01222";"01222";"Growing of mango"
"";""101-Tanaman";"36";"A";"A";"01223";"Growing of durian";"01223";"01223";"Growing of durian"
"";""101-Tanaman";"37";"A";"A";"01224";"Growing of rambutan";"01224";"01224";"Growing of rambutan"
"";""101-Tanaman";"38";"A";"A";"01225";"Growing of star fruit";"01225";"01225";"Growing of star fruit"
"";""101-Tanaman";"39";"A";"A";"01226";"Growing of papaya";"01226";"01226";"Growing of papaya"
"";""101-Tanaman";"40";"A";"A";"01227";"Growing of pineapple";"01227";"01227";"Growing of pineapple"
"";""101-Tanaman";"41";"A";"A";"01228";"Growing of pitaya (dragon fruit)";"01228";"01228";"Growing of pitaya (dragon fruit)"
"";""101-Tanaman";"42";"A";"A";"01229";"Growing of other tropical and subtropical fruits n.e.c.";"01229";"01229";"Growing of other tropical and subtropical fruits n.e.c."
"";""101-Tanaman";"43";"A";"A";"01231";"Growing of pomelo";"01231";"01231";"Growing of pomelo"
"";""101-Tanaman";"44";"A";"A";"01232";"Growing of lemon and limes";"01232";"01232";"Growing of lemon and limes"
"";""101-Tanaman";"45";"A";"A";"01233";"Growing of tangerines and mandarin";"01233";"01233";"Growing of tangerines and mandarin"
