1;2;3;4
1;"1";"PENGURUS";"MANAGERS"
3;"1111";"PENGGUBAL UNDANG-UNDANG";"LEGISLATORS"
4;"111101";"Perdana Menteri";"Prime Minister"
5;"111102";"Timbalan Perdana Menteri";"Deputy Prime Minister"
6;"111103";"Menteri";"Minister"
7;"111104";"Timbalan Menteri";"Deputy Minister"
8;"111105";"Ahli Parlimen";"Members of Parliament"
9;"111106";"Ketua Menteri";"Chief Minister"
10;"111107";"Exco Negeri";"State Exco"
11;"111108";"Ahli Dewan Undangan Negeri";"Member of the State Legislative Assembly"
12;"111109";"Timbalan Ketua Menteri";"Deputy Chief Minister"
13;"111110";"Menteri Muda";"Junior Minister"
14;"111111";"Menteri Besar";"Menteri Besar"
15;"111112";"Yang di-Pertua Dewan Negara";"President of The Senate"
16;"111113";"Timbalan Yang di-Pertua Dewan Negara";"Deputy Presidents of the Senate"
17;"111114";"Ahli Dewan Negara";"Member of the Senate"
18;"111115";"Yang di-Pertua Dewan Rakyat";"Speaker of the House Representatives"
19;"111116";"Timbalan Yang di-Pertua Dewan Rakyat";"Deputy Speaker of the House Representatives"
21;"1112";"PEGAWAI KANAN KERAJAAN";"SENIOR GOVERNMENT OFFICIALS"
22;"111201";"Penyimpan Mohor Besar Raja-Raja";"The Keeper of the Rulers' Seal"
23;"111202";"Ketua Setiausaha Negara";"Chief Secretary to the Government"
24;"111203";"Ketua Pengarah Perkhidmatan Awam";"Director-General of Public Service"
25;"111204";"Peguam Negara";"Attorney General"
26;"111205";"Ketua Setiausaha Perbendaharaan";"Secretary General of Treasury"
27;"111206";"Ketua Audit Negara";"Auditor General"
28;"111207";"Ketua Polis Negara";"Inspector-General of Police"
29;"111208";"Ketua Pengarah Kesihatan";"Director-General of Health"
30;"111209";"Panglima Angkatan Tentera";"Chief of Defence Force"
31;"111210";"Akauntan Negara";"Accountant General"
32;"111211";"Gabenor";"Governor"
33;"111212";"Ketua Pengarah Kastam";"Director-General of Customs"
