1;2;3;4;5;6;7
"id";"VERSION";"SECTION";"DESCRIPTION_MALAY";"DESCRIPTION_ENGLISH";"DEFINITION_MALAY";"DEFINITION_ENGLISH"
"";2020;"0";"ANGKATAN TENTERA";"ARMED FORCES OCCUPATIONS";"Tentera Darat Malaysia (TDM) merupakan salah satu cabang perkhidmatan di dalam ATM. Peranan utama TDM adalah mempertahankan daratan negara dan kepentingan strategik dari ancaman luar dan merealisasikan angkatan yang sentiasa siap siaga untuk melindungi kedaulatan dan menjamin kestabilan negara. Bagi peranan sekunder pula, TDM membantu Pihak Polis dan Pihak Berkuasa Awam dalam memelihara ketenteraman awam dan operasi anti keganasan. Selain itu, TDM turut membantu pihak berkuasa awam di dalam bantuan bencana alam dan pembangunan negara.

Skim Perkhidmatan ATM terbahagi kepada Skim Pegawai Angkatan Tetap ATM dan Skim Askar Lasykar Angkatan Tetap ATM. Pegawai ATM akan ditauliahkan dengan pangkat permulaan Leftenan Muda setaraf oleh Seri Paduka Baginda Yang di-Pertuan Agong setelah menjalani Latihan Pegawai Kadet dan askar lasykar (Lain-Lain Pangkat) mereka akan dilantik sebagai Prebet setaraf untuk berkhidmat setelah menjalani Latihan Asas Ketenteraan. Semua anggota tentera yang sedang berkhidmat haruslah memiliki disiplin yang tinggi dan mereka tertakluk kepada Akta Angkatan Tentera 1972. Pekerja Awam yang berkhidmat di bawah Kementerian Pertahanan Malaysia tidak dikategorikan sebagai anggota ATM.";"The Malaysian Armed Forces (MAF) is divided into three branches, namely the Malaysian Army (MA), Royal Malaysian Navy (RMN) and Royal Malaysian Air Force (RMAF). The main role of the MAF is to defend the sovereignty and territorial integrity of the country against external threats whereas its secondary role is to assist the public authorities in restoring and maintaining public order, enforcing maritime law, defending against internal threats, assisting in disaster relief and national development operations as well as providing support in peacekeeping efforts under the banner of the United Nations (UN).

The ATM Services Scheme is divided into the MAF Permanent Force Officer Scheme and the MAF Permanent Army Soldier Scheme. MAF officers will be commissioned with the starting rank of Junior Lieutenant or equivalent by His Majesty the Yang di-Pertuan Agong after undergoing Training of Cadet Officers and lasykar soldiers (Other Ranks) they will be appointed as Private or equivalent to serve after undergoing Basic Military Training. All serving military personnel must have high discipline and they are subject to the Armed Forces Act 1972. Civil Servants serving under the Ministry of Defense Malaysia are not categorized as ATM members."
"";2020;"1";"PENGURUS";"MANAGERS";"Menggubal, menganalisa, merumus, mengarah dan memberi nasihat tentang dasar kerajaan, dan membuat, meminda dan memansuhkan undang-undang, kaedah dan peraturan awam, dan mewakili serta bertindak bagi pihak kerajaan, dan memantau pentafsiran dan pelaksanaan dasar dan undang-undang kerajaan, atau menjalankan tugas yang seumpamanya bagi pihak pertubuhan berkepentingan khas, atau merancang, mengatur, memimpin, mengawal dan menyelaras dasar dan aktiviti perusahaan, organisasi, jabatan atau seksyen dalamannya.";"Devise, analyse, formulate, direct and advise on government policy, and make, amend and repeal laws, public rules and regulations, and represent and act on behalf of the government, and oversee the interpretation and implementation of policies and government legislation, or carry out similar tasks on behalf of special interest organisations, or plan, organise, lead, control and coordinate the policies and activities of enterprises, organisations, departments or the internal section."
"";2020;"2";"PROFESIONAL";"PROFESSIONALS";"Meningkatkan ilmu pengetahuan sedia ada, mengaplikasikan konsep dan teori saintifik atau artistik, mengajar tentang perkara tersebut dengan cara bersistematik, atau terlibat dalam apa-apa gabungan tiga aktiviti di atas.";"Increase the existing stock of knowledge, apply scientific or artistic concepts and theories, teach about the foregoing in a systematic manner, or engage in any combination of these three activities"
"";2020;"3";"JURUTEKNIK DAN PROFESIONAL BERSEKUTU";"TECHNICIANS AND ASSOCIATE PROFESSIONALS";"Melakukan tugas teknikal dan tugas yang berkaitan dengan penyelidikan dan pengaplikasian konsep sains atau seni dan kaedah operasi, dan peraturan kerajaan atau perniagaan.";"Perform technical and related tasks connected with research and the application of scientific or artistic concepts and operational methods, and government or business regulations"
"";2020;"4";"PEKERJA SOKONGAN PERKERANIAN";"CLERICAL SUPPORT WORKERS";"Merekod, mengurus, menyimpan dan mendapatkan maklumat yang berkaitan, dan menjalankan tugas-tugas perkeranian berhubung dengan operasi pentadbiran, pengendalian wang, urusan perjalanan, permintaan maklumat dan janji temu.";"Record, organise, store and retrieve related information and perform clerical duties especially in connection with administrative operations, handling of money, travel arrangements and requests for information and appointments"
"";2020;"5";"PEKERJA PERKHIDMATAN DAN JUALAN";"SERVICE AND SALES WORKERS";"Menyediakan perkhidmatan peribadi berkaitan dengan perjalanan, pengemasan, katering, penjagaan diri, atau perlindungan dari kebakaran dan undang-undang yang berkaitan, atau menunjuk cara dan menjual barangan di kedai borong atau runcit dan pertubuhan seumpamanya termasuk di gerai dan pasar.";"Provide personal services related to travel, housekeeping, catering, personal care, or protection against fire and unlawful acts, or demonstrate and sell goods in wholesale or retail shops and similar establishments as well as at stalls and markets"
"";2020;"6";"PEKERJA KEMAHIRAN PERTANIAN, PERHUTANAN, PENTERNAKAN DAN PERIKANAN";"SKILLED AGRICULTURAL, FORESTRY, LIVESTOCK AND FISHERY WORKERS";"Menanam dan menuai tanaman ladang atau pokok dan pokok renek dan mengumpulkan buah-buahan, herba dan tanaman liar; menternak, menjaga atau memburu haiwan dan mengeluarkan pelbagai produk ternakan; menanam, memulihara dan mendapatkan hasil hutan; membiak baka atau menangkap ikan; dan memelihara atau mengumpulkan pelbagai hidupan akuatik lain.";"Grow and harvest field or tree and shrub crops, gather wild fruit, herbs and vegetables, breed, tend or hunt animals, produce a variety of animal husbandry products, cultivate, conserve and gather forest products, breed or catch fish and cultivate or gather other forms of aquatic life"
"";2020;"7";"PEKERJA KEMAHIRAN DAN PEKERJA PERTUKANGAN YANG BERKAITAN";"CRAFT AND RELATED TRADES WORKERS";"Mengaplikasikan pengetahuan dan kemahiran khusus dalam bidang perlombongan dan pembinaan, penempaan logam, dan mendirikan stuktur logam; membuat, melaraskan, menyelenggara dan membaik pulih jentera, kelengkapan atau peralatan; menjalankan kerja pencetakan; dan mengeluarkan atau memproses barang makanan, tekstil atau kayu, logam dan barangan lain termasuk barang kraftangan.

Kerja tersebut dijalankan dengan tangan atau peralatan yang menggunakan tangan dan peralatan lain yang digunakan untuk mengurangkan penggunaan tenaga fizikal serta masa yang diperlukan untuk tugas tertentu, dan juga untuk meningkatkan kualiti produk. Tugas itu memerlukan pemahaman dalam semua peringkat proses pengeluaran, bahan dan peralatan yang digunakan, serta jenis dan tujuan produk akhir.
";"Apply their specific knowledge and skills in the fields of mining and construction, metal forming, and erect metal structures, make, fit, maintain and repair machinery, equipment or tools, carry out printing work as well as produce or process foodstuffs, textiles, or wooden, metal and other articles including handicraft goods.
The work is carried out by hand or by hand-powered and other tools which are used to reduce the amount of physical effort and time required for specific tasks, as well as to improve the quality of the products. The tasks call for an understanding of all stages of the production process, the materials and tools used, and the nature and purpose of the final product
"
"";2020;"8";"OPERATOR LOJI DAN MESIN, DAN PEMASANG";"PLANT AND MACHINE OPERATORS, AND ASSEMBLERS";"Mengendalikan dan mengawasi jentera dan kelengkapan perindustrian dan pertanian; memandu dan mengendalikan kereta api, kenderaan bermotor, jentera dan kelengkapan bergerak; atau memasang bahagian komponen produk mengikut spesifikasi dan prosedur yang ketat.

Kerja tersebut biasanya memerlukan pengalaman dan pemahaman berkaitan jentera dan kelengkapan perindustrian dan pertanian, serta kebolehan mengawal operasi yang menggunakan mesin, dan menyesuaikan diri dengan pembaharuan teknologi.
";"Operate and monitor industrial and agricultural machinery and equipment, drive and operate trains, motor vehicles and mobile machinery and equipment, or assemble product component parts according to strict specifications and procedures.

The work mainly calls for experience with and understanding of industrial and agricultural machinery and equipment as well as an ability to cope with machine-paced operations and to adapt to technological innovations.
"
